brain_code	main	species	long_1	short_1	long_2	short_2	long_3	short_3
B21	periaqueductal gray	Mouse	periaqueductal gray	PAG	periaqueductal gray	PAG		
B21.11	dorsolateral periaqueductal gray	Mouse	dorsolateral periaqueductal gray	DLPAG	dorsolateral periaqueductal gray	DLPAG		
B21.12	ventrolateral periaqueductal gray	Mouse	ventrolateral periaqueductal gray	VLPAG	ventrolateral periaqueductal gray	VLPAG		
B30	solitary nucleus	Mouse	solitary nucleus	Sol	nucleus of the solitary tract	Sol	NTS	
B33	accessory olfactory bulb	Mouse	accessory olfactory bulb	AOB	accessory olfactory bulb	AOB		
B34	anterior hypothalamic area	Mouse	anterior hypothalamic area	AH	anterior hypothalamic area	AH		
B35	anterior olfactory area external part	Mouse	anterior olfactory area external part	AOE	anterior olfactory area external part	AOE	anterior olfactory nucleus	
B37	caudate putamen (striatum)	Mouse	caudate putamen (striatum)	Cpu	caudate putamen (striatum)	Cpu		
B39	claustrum	Mouse	claustrum	cl	claustrum	Cl		
B42	dorsal raphe nucleus	Mouse	dorsal raphe nucleus	DR	dorsal raphe nucleus	DR		
B46	granule cell layer of the accessory olfactory bulb	Mouse	granule cell layer of the accessory olfactory bulb	GrA	granule cell layer of the accessory olfactory bulb	GrA	granular cell layer,accessory olfactory bulb	
B48	lateral periaqueductal gray	Mouse	lateral periaqueductal gray	LPAG	lateral periaqueductal gray	LPAG		
B49	lateral preoptic area	Mouse	lateral preoptic area	LPO	lateral preoptic area	LPO		
B50	laterodorsal tegmental nucleus	Mouse	laterodorsal tegmental nucleus	LDTg	laterodorsal tegmental nucleus	LDTg	laterodorsal tegmental nucleus (LDT)	
B51	medial preoptic area	Mouse	medial preoptic area	MPA	medial preoptic area	MPA		
B52.1	medial preoptic nucleus, medial part	Mouse	medial preoptic nucleus, medial part	MPOM	medial preoptic nucleus, medial part	MPOM		
B54	mitral cell layer of the accessory olfactory bulb	Mouse	mitral cell layer of the accessory olfactory bulb	MiA	mitral cell layer of the accessory olfactory bulb	MiA	mitral cell layer, accessory olfactory bulb	
B59	superior colliculus	Mouse	superior colliculus	SC	superior colliculus	SC		
B6	basolateral amygdaloid nucleus	Mouse	basolateral amygdaloid nucleus	BL	basolateral amygdaloid nucleus	BL	BLA	
B61	ventral tegmental area, rostral part	Mouse	ventral tegmental area, rostral part	VTAR	ventral tegmental area	VTA		
B62	lateral habenular nucleus	Mouse	lateral habenular nucleus	LHb	lateral habenular nucleus	LHb		
B63	dorsal horn	Mouse			dorsal horn	DH	dorsal horn	
B64	diagonal band of Broca	Mouse			diagonal band of Broca	DBB		
B65	Insular cortex	Mouse			Insular cortex	insula	Insular contex	
B66	ventromedial thalamic nucleus x	Mouse	ventromedial thalamic nucleus x	VM	ventromedial thalamic nucleus	VM	vMT,ventral midline thalamus	
B67	medial tuberal nucleus	Mouse	medial tuberal nucleus	MTu	medial tuberal nucleus	MTu	TN,tuberal nucleus	
